"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2019","19,31","19,30","19,46","19,11","24,45M","0,31%"
"30.09.2019","19,25","19,53","19,56","19,17","21,54M","-1,03%"
"27.09.2019","19,45","19,56","19,67","19,31","12,41M","-0,41%"
"26.09.2019","19,53","19,57","19,76","19,38","33,34M","-0,36%"
"25.09.2019","19,60","19,25","19,63","19,25","15,24M","1,29%"
"24.09.2019","19,35","19,47","19,51","19,13","16,06M","-0,31%"
"23.09.2019","19,41","19,24","19,54","19,23","13,28M","0,10%"
"20.09.2019","19,39","19,43","19,47","19,10","32,26M","0,21%"
"19.09.2019","19,35","19,48","19,60","19,20","31,68M","0,47%"
"18.09.2019","19,26","19,36","19,45","19,15","18,06M","-0,87%"
"17.09.2019","19,43","19,03","19,50","19,03","16,91M","1,46%"
"16.09.2019","19,15","19,06","19,23","18,93","14,85M","0,26%"
"13.09.2019","19,10","19,35","19,48","18,96","16,03M","-1,39%"
"12.09.2019","19,37","19,10","19,49","19,01","21,97M","2,43%"
"11.09.2019","18,91","18,90","19,28","18,72","28,65M","0,48%"
"10.09.2019","18,82","18,87","19,12","18,73","23,40M","-0,26%"
"09.09.2019","18,87","18,79","18,91","18,66","11,44M","0,80%"
"06.09.2019","18,72","18,83","18,88","18,58","13,04M","0,16%"
"05.09.2019","18,69","18,90","19,00","18,69","14,99M","-0,59%"
"04.09.2019","18,80","18,74","18,86","18,57","15,13M","1,51%"
"03.09.2019","18,52","18,34","18,85","18,26","20,55M","0,76%"
"02.09.2019","18,38","18,72","18,92","18,38","8,03M","-1,82%"
"30.08.2019","18,72","18,62","18,89","18,57","22,78M","0,92%"
"29.08.2019","18,55","18,07","18,58","18,02","16,80M","2,20%"
"28.08.2019","18,15","18,01","18,20","17,97","15,43M","-0,11%"
"27.08.2019","18,17","18,16","18,37","17,91","31,84M","0,44%"
"26.08.2019","18,09","18,46","18,53","17,96","16,49M","-1,31%"
"23.08.2019","18,33","18,29","18,71","18,03","28,23M","-0,76%"
"22.08.2019","18,47","18,92","18,92","18,28","26,21M","-1,76%"
"21.08.2019","18,80","19,15","19,19","18,75","17,55M","-0,74%"
"20.08.2019","18,94","19,05","19,07","18,84","15,58M","-0,89%"
"19.08.2019","19,11","19,00","19,24","18,91","16,20M","1,11%"
"16.08.2019","18,90","18,92","18,95","18,66","17,27M","0,64%"
"15.08.2019","18,78","19,06","19,15","18,58","21,71M","-1,21%"
"14.08.2019","19,01","19,30","19,37","18,84","27,67M","-1,91%"
"13.08.2019","19,38","19,32","19,60","19,28","21,13M","-0,51%"
"12.08.2019","19,48","19,77","19,77","19,27","26,86M","-2,94%"
"09.08.2019","20,07","20,17","20,20","19,93","18,89M","-0,50%"
"08.08.2019","20,17","20,05","20,42","19,94","47,66M","-2,23%"
"07.08.2019","20,63","20,19","20,72","20,13","18,77M","0,73%"
"06.08.2019","20,48","20,17","20,58","20,08","21,73M","1,59%"
"05.08.2019","20,16","20,15","20,41","20,08","20,68M","-1,61%"
"02.08.2019","20,49","20,41","20,62","20,33","15,52M","0,34%"
"01.08.2019","20,42","20,16","20,70","20,16","26,83M","1,44%"
"31.07.2019","20,13","20,31","20,41","19,84","27,00M","-1,03%"
