"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2019","44,95","45,71","45,71","44,81","6,51M","-1,19%"
"30.09.2019","45,49","45,50","45,90","45,48","5,42M","0,33%"
"27.09.2019","45,34","45,50","46,08","45,25","7,88M","-0,81%"
"26.09.2019","45,71","45,79","46,21","45,21","8,73M","0,37%"
"25.09.2019","45,54","45,84","45,84","44,80","10,83M","-0,65%"
"24.09.2019","45,84","47,39","47,56","45,60","11,87M","-3,05%"
"23.09.2019","47,28","47,44","47,74","46,86","5,73M","-0,48%"
"20.09.2019","47,51","47,00","47,98","46,90","15,28M","1,58%"
"19.09.2019","46,77","48,41","48,70","46,77","9,52M","-2,60%"
"18.09.2019","48,02","47,46","48,25","47,16","8,50M","1,52%"
"17.09.2019","47,30","46,39","47,45","46,12","6,71M","1,39%"
"16.09.2019","46,65","47,04","47,56","46,30","8,14M","-1,04%"
"13.09.2019","47,14","48,07","48,50","46,90","7,91M","-1,79%"
"12.09.2019","48,00","48,32","48,37","47,40","10,17M","0,50%"
"11.09.2019","47,76","49,26","49,73","47,76","14,01M","-2,37%"
"10.09.2019","48,92","50,11","50,25","48,64","8,40M","-1,69%"
"09.09.2019","49,76","49,31","50,28","49,03","13,46M","1,24%"
"06.09.2019","49,15","47,67","49,15","47,67","13,89M","4,07%"
"05.09.2019","47,23","45,88","47,55","45,87","12,33M","3,48%"
"04.09.2019","45,64","45,16","45,71","44,76","7,00M","2,38%"
"03.09.2019","44,58","45,18","46,10","44,40","11,05M","-1,87%"
"02.09.2019","45,43","46,02","46,56","45,18","5,35M","-1,28%"
"30.08.2019","46,02","44,96","46,33","44,87","11,96M","2,59%"
"29.08.2019","44,86","44,00","45,00","43,82","8,72M","2,42%"
"28.08.2019","43,80","43,75","44,09","43,43","8,38M","-0,82%"
"27.08.2019","44,16","45,13","45,38","43,23","12,55M","-0,81%"
"26.08.2019","44,52","45,16","45,48","43,55","6,93M","-0,47%"
"23.08.2019","44,73","45,88","46,31","44,50","13,01M","-3,64%"
