"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2019","14,50","14,32","14,54","14,22","13,12M","1,19%"
"30.09.2019","14,33","14,18","14,38","14,09","6,95M","1,63%"
"27.09.2019","14,10","14,14","14,22","14,02","5,97M","0,00%"
"26.09.2019","14,10","13,93","14,14","13,93","5,16M","1,44%"
"25.09.2019","13,90","14,00","14,03","13,64","18,71M","-1,07%"
"24.09.2019","14,05","14,27","14,39","13,87","12,16M","-1,06%"
"23.09.2019","14,20","14,36","14,37","14,15","5,36M","-0,63%"
"20.09.2019","14,29","14,45","14,48","14,18","11,22M","-0,42%"
"19.09.2019","14,35","14,35","14,59","14,32","8,91M","0,35%"
"18.09.2019","14,30","14,40","14,50","14,22","8,78M","-0,83%"
"17.09.2019","14,42","14,16","14,42","14,08","25,42M","2,20%"
"16.09.2019","14,11","14,26","14,38","14,11","9,70M","-2,22%"
"13.09.2019","14,43","14,70","14,75","14,31","11,65M","-1,77%"
"12.09.2019","14,69","14,80","15,04","14,61","9,35M","-0,27%"
"11.09.2019","14,73","14,49","14,73","14,41","6,56M","2,29%"
"10.09.2019","14,40","14,50","14,57","14,27","7,25M","-0,48%"
"09.09.2019","14,47","14,72","14,89","14,47","8,16M","-1,63%"
"06.09.2019","14,71","14,94","14,94","14,52","8,01M","-0,74%"
"05.09.2019","14,82","14,73","14,93","14,69","7,22M","0,88%"
"04.09.2019","14,69","14,79","14,83","14,59","8,17M","0,55%"
"03.09.2019","14,61","14,80","15,05","14,59","9,04M","-1,95%"
"02.09.2019","14,90","14,70","15,05","14,70","4,77M","0,95%"
"30.08.2019","14,76","14,50","14,98","14,38","14,89M","2,07%"
"29.08.2019","14,46","14,06","14,46","14,01","10,29M","3,14%"
"28.08.2019","14,02","14,36","14,40","13,65","16,72M","-3,04%"
"27.08.2019","14,46","14,38","14,65","14,22","13,94M","0,63%"
"26.08.2019","14,37","14,58","14,67","14,17","8,88M","-1,37%"
"23.08.2019","14,57","14,75","15,06","14,51","9,04M","-3,06%"
"22.08.2019","15,03","15,38","15,41","15,03","6,32M","-2,28%"
"21.08.2019","15,38","14,90","15,42","14,64","11,03M","4,20%"
"20.08.2019","14,76","14,63","14,90","14,36","8,67M","0,07%"
"19.08.2019","14,75","14,83","14,98","14,59","11,66M","1,44%"
"16.08.2019","14,54","14,50","14,86","14,29","12,11M","3,05%"
"15.08.2019","14,11","14,53","14,71","13,94","7,98M","-2,69%"
"14.08.2019","14,50","14,66","14,80","14,39","9,07M","-2,29%"
"13.08.2019","14,84","14,48","14,92","14,27","9,40M","2,13%"
"12.08.2019","14,53","14,47","14,67","14,25","8,10M","-0,48%"
"09.08.2019","14,60","14,49","14,65","14,32","6,31M","0,69%"
"08.08.2019","14,50","14,10","14,56","14,05","17,97M","3,57%"
"07.08.2019","14,00","14,32","14,41","13,87","27,53M","-3,45%"
"06.08.2019","14,50","14,13","14,54","14,05","7,16M","3,13%"
"05.08.2019","14,06","14,08","14,20","13,88","8,83M","-2,09%"
"02.08.2019","14,36","14,30","14,50","14,10","5,81M","-0,07%"
"01.08.2019","14,37","14,20","14,63","14,14","11,60M","1,63%"
"31.07.2019","14,14","14,23","14,30","14,00","6,08M","-0,28%"
"30.07.2019","14,18","13,98","14,20","13,93","5,00M","0,93%"
"29.07.2019","14,05","14,13","14,20","13,82","9,58M","-0,43%"
"26.07.2019","14,11","14,11","14,25","14,06","5,82M","0,28%"
"25.07.2019","14,07","14,25","14,37","14,00","7,46M","-1,12%"
"24.07.2019","14,23","14,56","14,59","14,19","6,62M","-1,52%"
"23.07.2019","14,45","14,45","14,67","14,45","6,23M","0,14%"
"22.07.2019","14,43","14,55","14,67","14,43","5,11M","-0,48%"
