"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2019","13,09","13,11","13,39","12,99","7,43M","-0,53%"
"30.09.2019","13,16","13,02","13,26","12,91","18,08M","1,00%"
"27.09.2019","13,03","13,13","13,24","12,93","6,94M","-0,76%"
"26.09.2019","13,13","13,19","13,28","12,99","12,00M","0,15%"
"25.09.2019","13,11","12,88","13,17","12,68","12,22M","1,24%"
"24.09.2019","12,95","13,28","13,28","12,81","9,34M","-1,97%"
"23.09.2019","13,21","13,07","13,34","13,02","8,10M","-0,30%"
"20.09.2019","13,25","13,40","13,47","13,09","16,49M","-1,12%"
"19.09.2019","13,40","13,47","13,52","13,29","6,94M","-0,22%"
"18.09.2019","13,43","13,57","13,64","13,24","7,49M","-1,10%"
"17.09.2019","13,58","13,36","13,64","13,24","8,31M","0,59%"
"16.09.2019","13,50","13,45","13,56","13,27","11,13M","-0,44%"
"13.09.2019","13,56","13,60","13,76","13,40","9,05M","-0,37%"
"12.09.2019","13,61","13,40","13,82","13,35","21,29M","2,87%"
"11.09.2019","13,23","13,63","13,63","13,08","15,74M","-2,14%"
"10.09.2019","13,52","13,21","13,68","13,15","27,89M","3,13%"
"09.09.2019","13,11","12,50","13,18","12,49","19,73M","5,47%"
"06.09.2019","12,43","12,69","12,73","12,39","11,50M","-1,89%"
"05.09.2019","12,67","12,76","12,95","12,62","14,88M","0,72%"
"04.09.2019","12,58","12,76","12,79","12,43","11,86M","0,00%"
"03.09.2019","12,58","12,60","12,69","12,36","16,69M","-0,63%"
"02.09.2019","12,66","13,01","13,09","12,63","5,00M","-1,63%"
"30.08.2019","12,87","12,67","12,93","12,55","11,03M","2,71%"
"29.08.2019","12,53","12,05","12,65","11,95","16,04M","5,21%"
"28.08.2019","11,91","11,68","12,00","11,56","9,68M","1,19%"
"27.08.2019","11,77","12,01","12,10","11,54","17,92M","-2,00%"
"26.08.2019","12,01","12,39","12,42","11,89","11,65M","-2,28%"
"23.08.2019","12,29","12,47","12,85","12,17","15,12M","-2,54%"
"22.08.2019","12,61","12,52","12,72","12,37","10,61M","0,48%"
"21.08.2019","12,55","12,40","12,63","12,20","19,94M","1,95%"
"20.08.2019","12,31","12,20","12,53","12,01","17,22M","0,41%"
"19.08.2019","12,26","12,66","12,77","12,05","10,88M","-2,78%"
"16.08.2019","12,61","12,41","12,61","12,22","23,91M","3,28%"
"15.08.2019","12,21","12,65","12,72","11,88","22,13M","-3,40%"
"14.08.2019","12,64","13,01","13,04","12,56","14,11M","-4,24%"
"13.08.2019","13,20","12,71","13,25","12,71","14,34M","2,64%"
"12.08.2019","12,86","12,95","13,05","12,75","11,40M","-2,72%"
"09.08.2019","13,22","13,24","13,40","13,07","9,32M","-0,75%"
"08.08.2019","13,32","13,13","13,39","13,06","11,95M","3,26%"
"07.08.2019","12,90","12,83","12,90","12,60","19,40M","-0,92%"
"06.08.2019","13,02","13,17","13,21","12,88","14,20M","-0,08%"
"05.08.2019","13,03","13,23","13,27","12,94","16,57M","-3,48%"
"02.08.2019","13,50","13,48","13,58","13,30","10,16M","0,52%"
"01.08.2019","13,43","13,82","13,92","13,31","20,69M","-1,76%"
"31.07.2019","13,67","14,07","14,09","13,56","14,01M","-2,43%"
"30.07.2019","14,01","13,82","14,09","13,72","8,24M","1,37%"
"29.07.2019","13,82","13,75","13,85","13,69","7,30M","1,02%"
"26.07.2019","13,68","13,73","13,77","13,53","10,99M","0,29%"
"25.07.2019","13,64","13,84","13,96","13,58","9,31M","-0,94%"
"24.07.2019","13,77","14,00","14,05","13,77","9,57M","-1,50%"
"23.07.2019","13,98","14,04","14,15","13,89","9,81M","0,36%"
"22.07.2019","13,93","14,36","14,36","13,89","13,19M","-2,31%"
"19.07.2019","14,26","14,37","14,54","14,16","11,44M","-1,04%"
"18.07.2019","14,41","14,57","14,62","14,29","11,30M","-0,83%"
"17.07.2019","14,53","14,75","14,82","14,52","9,04M","-1,22%"
"16.07.2019","14,71","14,92","15,14","14,65","42,58M","-0,94%"
"15.07.2019","14,85","14,81","14,96","14,69","10,91M","1,43%"
"12.07.2019","14,64","14,88","14,98","14,63","9,09M","-1,48%"
"11.07.2019","14,86","15,27","15,29","14,69","11,49M","-2,43%"
"10.07.2019","15,23","15,40","15,45","15,23","13,50M","-0,26%"
"08.07.2019","15,27","15,29","15,37","15,17","5,16M","-0,13%"
"05.07.2019","15,29","15,13","15,29","14,89","8,57M","0,46%"
"04.07.2019","15,22","14,87","15,25","14,86","9,46M","2,84%"
"03.07.2019","14,80","14,54","14,83","14,39","7,11M","1,65%"
"02.07.2019","14,56","15,01","15,01","14,49","11,54M","-2,61%"
"01.07.2019","14,95","15,31","15,41","14,91","10,05M","-1,12%"
"28.06.2019","15,12","15,05","15,15","14,93","6,48M","1,41%"
"27.06.2019","14,91","14,91","15,00","14,69","6,27M","-0,67%"
"26.06.2019","15,01","14,88","15,01","14,78","8,17M","2,32%"
"25.06.2019","14,67","15,05","15,12","14,60","9,57M","-2,52%"
"24.06.2019","15,05","15,10","15,19","15,03","5,10M","-0,59%"
"21.06.2019","15,14","14,93","15,16","14,92","10,52M","1,75%"
"19.06.2019","14,88","14,70","14,90","14,57","9,56M","1,50%"
"18.06.2019","14,66","14,28","14,66","14,24","11,24M","3,75%"
"17.06.2019","14,13","14,29","14,35","14,07","7,97M","-0,98%"
"14.06.2019","14,27","14,53","14,53","14,13","7,74M","-2,06%"
"13.06.2019","14,57","14,51","14,67","14,47","9,27M","1,32%"
"12.06.2019","14,38","14,58","14,71","14,30","8,63M","-0,76%"
"11.06.2019","14,49","14,17","14,70","14,17","15,41M","2,99%"
"10.06.2019","14,07","13,76","14,09","13,71","8,00M","1,81%"
"07.06.2019","13,82","13,64","13,86","13,57","6,46M","1,84%"
"06.06.2019","13,57","13,70","13,71","13,48","7,43M","-0,44%"
"05.06.2019","13,63","13,82","13,86","13,55","7,38M","-1,09%"
"04.06.2019","13,78","13,95","13,96","13,68","9,56M","-0,58%"
"03.06.2019","13,86","13,87","13,88","13,65","7,94M","0,51%"
"31.05.2019","13,79","13,84","13,87","13,67","8,54M","-0,58%"
"30.05.2019","13,87","13,97","14,11","13,83","6,46M","-0,72%"
"29.05.2019","13,97","13,91","14,09","13,75","11,29M","-0,64%"
"28.05.2019","14,06","13,79","14,07","13,67","11,23M","2,33%"
"27.05.2019","13,74","13,90","13,94","13,67","4,59M","-0,22%"
"24.05.2019","13,77","14,05","14,12","13,69","6,97M","-0,72%"
"23.05.2019","13,87","14,10","14,17","13,82","9,37M","-2,39%"
"22.05.2019","14,21","14,32","14,46","14,06","11,72M","0,00%"
"21.05.2019","14,21","13,87","14,26","13,67","10,73M","3,72%"
"20.05.2019","13,70","13,62","13,76","13,51","8,02M","0,81%"
"17.05.2019","13,59","13,55","13,79","13,49","12,16M","0,00%"
"16.05.2019","13,59","13,76","13,92","13,52","15,51M","-1,31%"
"15.05.2019","13,77","13,59","13,79","13,48","11,31M","-0,22%"
"14.05.2019","13,80","13,76","13,95","13,70","15,25M","1,02%"
"13.05.2019","13,66","13,80","13,85","13,53","13,17M","-2,43%"
"10.05.2019","14,00","14,13","14,18","13,85","10,28M","-0,64%"
"09.05.2019","14,09","14,20","14,24","13,92","11,62M","-1,81%"
"08.05.2019","14,35","14,66","14,72","14,08","28,21M","1,99%"
"07.05.2019","14,07","13,93","14,07","13,66","13,20M","1,01%"
"06.05.2019","13,93","13,86","14,13","13,77","9,07M","-1,07%"
"03.05.2019","14,08","13,91","14,22","13,91","10,15M","1,66%"
"02.05.2019","13,85","13,92","13,97","13,76","9,00M","-1,07%"
"30.04.2019","14,00","14,27","14,40","14,00","14,74M","-1,69%"
"29.04.2019","14,24","14,35","14,42","14,18","6,81M","0,14%"
"26.04.2019","14,22","14,48","14,50","14,15","9,51M","-1,46%"
"25.04.2019","14,43","14,45","14,56","14,28","8,00M","-0,14%"
"24.04.2019","14,45","14,59","14,61","14,28","11,13M","-0,82%"
"23.04.2019","14,57","14,95","14,95","14,55","12,69M","-1,49%"
"22.04.2019","14,79","14,79","14,93","14,64","6,43M","0,14%"
"18.04.2019","14,77","14,97","15,12","14,76","6,87M","-0,34%"
"17.04.2019","14,82","15,03","15,25","14,64","12,89M","-0,67%"
"16.04.2019","14,92","14,65","15,21","14,50","9,55M","2,05%"
"15.04.2019","14,62","14,99","15,05","14,58","9,74M","-1,55%"
"12.04.2019","14,85","14,89","15,24","14,76","10,88M","-1,20%"
"11.04.2019","15,03","15,25","15,48","15,01","8,55M","-2,21%"
"10.04.2019","15,37","15,50","15,56","15,17","12,41M","-0,39%"
"09.04.2019","15,43","15,58","15,62","15,20","11,67M","-1,59%"
"08.04.2019","15,68","15,61","15,84","15,59","8,51M","0,51%"
"05.04.2019","15,60","16,07","16,10","15,55","10,17M","-2,68%"
"04.04.2019","16,03","15,98","16,16","15,75","8,07M","1,26%"
"03.04.2019","15,83","16,13","16,27","15,73","15,98M","-0,50%"
"02.04.2019","15,91","16,08","16,18","15,68","14,19M","0,00%"
"01.04.2019","15,91","15,24","16,10","15,22","33,21M","6,21%"
"29.03.2019","14,98","14,87","15,20","14,87","9,78M","1,77%"
"28.03.2019","14,72","14,48","14,78","14,39","10,05M","1,59%"
"27.03.2019","14,49","14,86","14,92","14,49","12,98M","-3,91%"
"26.03.2019","15,08","14,87","15,13","14,79","8,92M","2,52%"
"25.03.2019","14,71","14,75","14,97","14,67","8,41M","-0,47%"
"22.03.2019","14,78","15,28","15,33","14,71","13,67M","-4,58%"
"21.03.2019","15,49","15,51","15,79","15,26","13,16M","0,26%"
"20.03.2019","15,45","15,60","15,73","15,38","15,68M","-1,47%"
"19.03.2019","15,68","15,43","15,92","15,37","27,56M","2,08%"
"18.03.2019","15,36","14,99","15,51","14,99","23,13M","2,74%"
"15.03.2019","14,95","14,66","15,03","14,59","13,27M","2,40%"
"14.03.2019","14,60","14,90","14,95","14,55","14,48M","-1,48%"
"13.03.2019","14,82","14,59","14,87","14,53","11,14M","2,14%"
"12.03.2019","14,51","14,79","14,82","14,51","7,66M","-1,56%"
"11.03.2019","14,74","14,58","14,74","14,40","15,30M","1,31%"
"08.03.2019","14,55","14,51","14,57","14,25","10,34M","-0,14%"
"07.03.2019","14,57","14,85","14,85","14,52","12,35M","-1,35%"
"06.03.2019","14,77","14,77","14,89","14,75","4,91M","0,00%"
"01.03.2019","14,77","14,97","15,01","14,72","8,15M","-0,74%"
