"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2019","47,71","47,85","48,88","47,66","16,04M","-0,08%"
"30.09.2019","47,75","47,65","48,04","47,21","12,07M","0,19%"
"27.09.2019","47,66","48,15","48,35","47,27","13,26M","-0,42%"
"26.09.2019","47,86","48,10","48,28","47,53","12,19M","0,00%"
"25.09.2019","47,86","47,03","48,02","46,83","14,52M","1,98%"
"24.09.2019","46,93","47,71","47,88","46,78","15,22M","-2,43%"
"23.09.2019","48,10","48,19","48,58","47,96","11,93M","-0,66%"
"20.09.2019","48,42","48,66","48,74","48,00","23,85M","0,21%"
"19.09.2019","48,32","48,40","48,58","47,76","15,64M","-0,17%"
"18.09.2019","48,40","49,00","49,00","47,98","15,20M","-1,02%"
"17.09.2019","48,90","48,25","49,15","48,23","14,43M","0,64%"
"16.09.2019","48,59","49,40","49,44","48,35","26,33M","-2,41%"
"13.09.2019","49,79","49,96","50,30","49,66","21,99M","0,20%"
"12.09.2019","49,69","48,62","49,77","48,60","39,26M","3,63%"
"11.09.2019","47,95","48,60","48,60","47,58","16,81M","-0,60%"
"10.09.2019","48,24","47,88","48,50","47,20","21,42M","0,73%"
"09.09.2019","47,89","46,70","47,89","46,29","24,28M","3,10%"
"06.09.2019","46,45","46,45","46,69","46,09","10,26M","-0,15%"
"05.09.2019","46,52","46,95","47,19","46,52","20,17M","0,00%"
"04.09.2019","46,52","46,05","46,52","45,97","12,41M","2,20%"
"03.09.2019","45,52","46,00","46,05","45,34","13,17M","-1,06%"
"02.09.2019","46,01","46,55","46,67","45,85","12,71M","0,97%"
"30.08.2019","45,57","45,99","46,33","45,27","27,16M","1,04%"
"29.08.2019","45,10","44,11","45,25","43,96","23,35M","3,73%"
"28.08.2019","43,48","43,31","44,17","43,04","13,38M","0,37%"
"27.08.2019","43,32","43,15","43,91","42,44","27,76M","1,21%"
"26.08.2019","42,80","43,49","43,65","42,54","13,01M","-1,11%"
"23.08.2019","43,28","43,83","44,59","42,90","26,02M","-1,39%"
"22.08.2019","43,89","44,38","44,38","43,55","12,21M","-0,59%"
"21.08.2019","44,15","43,60","44,33","43,07","16,14M","0,71%"
"20.08.2019","43,84","43,51","44,49","42,90","16,79M","0,44%"
"19.08.2019","43,65","44,29","44,43","43,21","27,45M","-0,09%"
"16.08.2019","43,69","44,45","44,70","43,48","19,46M","-0,46%"
"15.08.2019","43,89","45,01","45,50","43,17","24,42M","-2,21%"
"14.08.2019","44,88","45,98","45,98","44,73","24,66M","-3,48%"
"13.08.2019","46,50","45,55","46,80","45,35","19,91M","2,97%"
"12.08.2019","45,16","45,15","45,99","45,03","16,31M","-0,73%"
"09.08.2019","45,49","46,70","46,81","45,49","24,39M","-3,58%"
"08.08.2019","47,18","47,30","47,49","46,92","24,12M","1,51%"
"07.08.2019","46,48","45,85","46,48","45,45","20,68M","-0,30%"
